question,option a,option b,option c,option d,answer,explanation,difficulty,tags
"When did the first passenger train in India run, and between which two stations?","15 August 1947, Delhi to Agra","16 April 1853, Bombay (Bori Bunder) to Thane","26 January 1950, Howrah to Hooghly","12 May 1865, Madras to Arcot","B","India's first passenger train ran on 16 April 1853 between Bori Bunder (Mumbai) and Thane, covering a distance of 34 km with 14 carriages hauled by three locomotives: Sahib, Sindh, and Sultan.","Easy","RRB NTPC, Railway GK, History"
"Where is the headquarters of the South Central Railway (SCR) zone located?","Vijayawada","Hubballi","Secunderabad","Chennai","C","The headquarters of South Central Railway (SCR) is located at Rail Nilayam in Secunderabad, Telangana.","Easy","RRB Group D, Railway Zones, GK"
"What is the official mascot of Indian Railways?","Gajraj the Elephant","Bholu the Guard Elephant","Cheetah the Fast Runner","Pawan the Flying Horse","B","Bholu the elephant, depicted as an engine driver or guard holding a green signal lamp, was unveiled on 16 April 2002 to mark the 150th year of Indian Railways.","Easy","RRB NTPC, Mascot, Static GK"
"Which railway station currently holds the record for the world's longest railway platform?","Gorakhpur Junction (Uttar Pradesh)","Kollam Junction (Kerala)","Shree Siddharoodha Swamiji Hubballi Junction (Karnataka)","Kharagpur Junction (West Bengal)","C","Hubballi Junction (Shree Siddharoodha Swamiji Station) in Karnataka has platform number 8 measuring 1,507 meters, officially recognized by Guinness World Records as the longest railway platform in the world.","Medium","RRB NTPC, Current Affairs, Records"
"What is the standard track gauge width of Broad Gauge used in Indian Railways?","1435 mm (4 ft 8.5 in)","1000 mm (3 ft 3.38 in)","1676 mm (5 ft 6 in)","762 mm (2 ft 6 in)","C","Broad Gauge track in India has a distance of 1676 mm (5 feet 6 inches) between the inner faces of the two parallel rails.","Medium","RRB ALP, Technical, Railways"
"India's first semi-high speed indigenously built self-propelled train set was initially named:","Vande Utkal","Train 18","Tejas Express","Gatimaan Express","B","Train 18 was designed and built by the Integral Coach Factory (ICF) in Chennai under Make in India and was later officially renamed the Vande Bharat Express.","Easy","RRB NTPC, Current Affairs, Indian Railways"
"Which is the first railway station in India powered entirely by solar energy?","New Delhi Railway Station","Guwahati Railway Station","Chhatrapati Shivaji Maharaj Terminus","KSR Bengaluru Station","B","Guwahati Railway Station in Assam became the first railway station in India to be fully powered by solar power in 2018 with a 700 kWp rooftop solar plant.","Medium","RRB Group D, Green Energy, Environment"
"A train 240 meters long passes a telegraph post in 12 seconds. What is the speed of the train in km/h?","60 km/h","72 km/h","80 km/h","90 km/h","B","Speed = Distance / Time = 240 m / 12 s = 20 m/s. Converting to km/h: 20 * (18 / 5) = 72 km/h.","Easy","RRB NTPC, Mathematics, Speed Time Distance"
"A 300-meter-long train running at 54 km/h will cross a 150-meter-long platform in how many seconds?","25 seconds","30 seconds","35 seconds","40 seconds","B","Total distance to cover = 300 m + 150 m = 450 m. Speed = 54 * (5 / 18) = 15 m/s. Time = 450 / 15 = 30 seconds.","Easy","RRB Group D, Mathematics, Trains"
"Two trains of lengths 120 m and 180 m are traveling in opposite directions on parallel tracks at 40 km/h and 32 km/h respectively. How long will they take to cross each other completely?","12 seconds","15 seconds","18 seconds","20 seconds","B","Total distance = 120 + 180 = 300 m. Relative speed in opposite direction = 40 + 32 = 72 km/h = 72 * (5/18) = 20 m/s. Time taken = 300 / 20 = 15 seconds.","Medium","RRB NTPC, Mathematics, Relative Speed"
"What is the SI unit of electric potential difference (voltage)?","Ampere","Ohm","Watt","Volt","D","The SI unit of electric potential difference, electric potential, and electromotive force is the Volt (symbol: V), named after Alessandro Volta.","Easy","RRB ALP, General Science, Physics"
"Which law of motion states that to every action there is an equal and opposite reaction?","Newton's First Law","Newton's Second Law","Newton's Third Law","Law of Conservation of Energy","C","Newton's Third Law of Motion states that when one body exerts a force on a second body, the second body simultaneously exerts a force equal in magnitude and opposite in direction on the first body.","Easy","RRB Group D, General Science, Physics"
"What is the chemical name and formula of common baking soda?","Sodium carbonate (Na2CO3)","Sodium hydrogen carbonate (NaHCO3)","Sodium hydroxide (NaOH)","Calcium oxychloride (CaOCl2)","B","Baking soda is chemically known as Sodium hydrogen carbonate or Sodium bicarbonate, with the formula NaHCO3.","Easy","RRB NTPC, General Science, Chemistry"
"Which gas is commonly known as 'Laughing Gas'?","Nitric oxide (NO)","Nitrous oxide (N2O)","Nitrogen dioxide (NO2)","Dinitrogen trioxide (N2O3)","B","Nitrous oxide (N2O) is a colorless gas with a sweet odor and taste, widely known as laughing gas due to the euphoric and relaxing sensations it produces when inhaled.","Easy","RRB Group D, General Science, Chemistry"
"Which organ in the human body produces bile, which aids in the digestion of fats?","Pancreas","Gallbladder","Liver","Stomach","C","Bile is produced continuously by the liver and is stored and concentrated in the gallbladder until needed for digestion in the small intestine.","Medium","RRB NTPC, General Science, Biology"
"The deficiency of which vitamin causes Rickets in growing children?","Vitamin A","Vitamin B1","Vitamin C","Vitamin D","D","Rickets is a childhood bone condition caused by a lack of Vitamin D, calcium, or phosphate, leading to soft and weak bones.","Easy","RRB Group D, General Science, Biology"
"What is the speed of sound in dry air at 20 degrees Celsius?","Approx 300 m/s","Approx 343 m/s","Approx 420 m/s","Approx 1500 m/s","B","At 20 degrees Celsius, the speed of sound in air is approximately 343 meters per second (1,235 km/h). In water it is about 1480 m/s.","Medium","RRB ALP, General Science, Physics"
"Which of the following manufacturing units of Indian Railways is located at Varanasi, Uttar Pradesh?","Chittaranjan Locomotive Works (CLW)","Integral Coach Factory (ICF)","Banaras Locomotive Works (BLW)","Rail Wheel Factory (RWF)","C","Banaras Locomotive Works (BLW), formerly Diesel Locomotive Works (DLW), is located in Varanasi, Uttar Pradesh and manufactures diesel-electric and electric locomotives.","Medium","RRB NTPC, Railway GK, Manufacturing Units"
"In a certain code language, if TRAIN is coded as 20-18-1-9-14, how will METRO be coded?","13-5-20-18-15","13-6-20-17-15","12-5-19-18-14","14-5-21-18-16","A","Each letter is replaced by its 1-indexed alphabetical position: M=13, E=5, T=20, R=18, O=15. Thus METRO is 13-5-20-18-15.","Easy","RRB NTPC, Reasoning, Coding-Decoding"
"Find the odd one out from the following four options:","Chittaranjan Locomotive Works","Integral Coach Factory","Wheel and Axle Plant","Defence Research and Development Organisation","D","Chittaranjan Locomotive Works, Integral Coach Factory, and Wheel and Axle Plant are all manufacturing units of Indian Railways, while DRDO is an agency of the Ministry of Defence.","Easy","RRB Group D, Reasoning, Classification"
"Looking at a photograph, Rohan said, 'His mother is the only daughter of my maternal grandfather.' How is the person in the photograph related to Rohan?","Rohan himself or Rohan's brother","Rohan's father","Rohan's uncle","Rohan's nephew","A","The only daughter of Rohan's maternal grandfather is Rohan's mother. Therefore, the person whose mother is Rohan's mother is either Rohan himself or Rohan's brother.","Medium","RRB NTPC, Reasoning, Blood Relations"
"Which Article of the Constitution of India provides for the establishment of the Finance Commission?","Article 268","Article 280","Article 312","Article 356","B","Article 280 of the Constitution of India provides for a Finance Commission consisting of a Chairman and four other members appointed by the President every fifth year.","Medium","RRB NTPC, General Awareness, Indian Polity"
"The famous Rock-cut Kailash Temple at Ellora was constructed by which dynasty?","Rashtrakuta Dynasty","Pallava Dynasty","Chola Dynasty","Chalukya Dynasty","A","The Kailash Temple at Ellora (Cave 16) in Maharashtra was carved out of a single monolithic basalt rock cliff under the patronage of the Rashtrakuta king Krishna I in the 8th century.","Hard","RRB NTPC, Indian History, Art and Architecture"
"Which atmospheric layer contains the Ozone Layer that protects the Earth from harmful ultraviolet (UV) radiation?","Troposphere","Stratosphere","Mesosphere","Thermosphere","B","The Ozone Layer is located primarily in the lower portion of the Stratosphere, approximately 15 to 35 kilometers above Earth's surface.","Easy","RRB Group D, Geography, Atmosphere"
"If a grocer sells an item for Rs. 480 making a profit of 20%, what was the cost price of the item?","Rs. 380","Rs. 400","Rs. 420","Rs. 440","B","Selling Price (SP) = Cost Price (CP) * (1 + Profit% / 100) => 480 = CP * 1.20 => CP = 480 / 1.20 = Rs. 400.","Easy","RRB Group D, Mathematics, Profit and Loss"
